Entry Text File Format Version: 1.0
_HISTORY.TXT( HISTORY OF EXECUTION )
_Backup at 2024/10/15 08:48:24
( 100265)    .INPUT ENET1,V1%,0.1,1
(    204)   1.PRINT ENET1,V1%
( 100238)    .INPUT ENET1,V1%,0.1,1
(    203)   1.PRINT ENET1,V1%
( 100277)    .INPUT ENET1,V1%,0.1,1
(    204)   1.PRINT ENET1,V1%
( 100302)    .INPUT ENET1,V1%,0.1,1
(    203)   1.PRINT ENET1,V1%
( 100309)    .INPUT ENET1,V1%,0.1,1
(    202)   1.PRINT ENET1,V1%
( 100209)    .INPUT ENET1,V1%,0.1,1
(    221)   1.PRINT ENET1,V1%
( 100261)    .INPUT ENET1,V1%,0.1,1
(    204)   1.PRINT ENET1,V1%
( 100297)    .INPUT ENET1,V1%,0.1,1
(    215)   1.PRINT ENET1,V1%
( 100270)    .INPUT ENET1,V1%,0.1,1
(    202)   1.PRINT ENET1,V1%
( 100249)    .INPUT ENET1,V1%,0.1,1
(    204)   1.PRINT ENET1,V1%
( 100275)    .INPUT ENET1,V1%,0.1,1
(    204)   1.PRINT ENET1,V1%
( 100321)    .INPUT ENET1,V1%,0.1,1
(    204)   1.PRINT ENET1,V1%
( 100281)    .INPUT ENET1,V1%,0.1,1
(    200)   1.PRINT ENET1,V1%
( 100232)    .INPUT ENET1,V1%,0.1,1
(    203)   1.PRINT ENET1,V1%
( 100265)    .INPUT ENET1,V1%,0.1,1
(    204)   1.PRINT ENET1,V1%
( 100363)    .INPUT ENET1,V1%,0.1,1
(    202)   1.PRINT ENET1,V1%
( 100227)    .INPUT ENET1,V1%,0.1,1
(    205)   1.PRINT ENET1,V1%
( 100248)    .INPUT ENET1,V1%,0.1,1
(    205)   1.PRINT ENET1,V1%
( 100309)    .INPUT ENET1,V1%,0.1,1
(    201)   1.PRINT ENET1,V1%
( 100262)    .INPUT ENET1,V1%,0.1,1
(    203)   1.PRINT ENET1,V1%
( 100291)    .INPUT ENET1,V1%,0.1,1
(    203)   1.PRINT ENET1,V1%
( 100304)    .INPUT ENET1,V1%,0.1,1
(    202)   1.PRINT ENET1,V1%
( 100224)    .INPUT ENET1,V1%,0.1,1
(    227)   1.PRINT ENET1,V1%
( 100255)    .INPUT ENET1,V1%,0.1,1
(    204)   1.PRINT ENET1,V1%
( 100327)    .INPUT ENET1,V1%,0.1,1
(    202)   1.PRINT ENET1,V1%
( 100237)    .INPUT ENET1,V1%,0.1,1
(    203)   1.PRINT ENET1,V1%
( 100285)    .INPUT ENET1,V1%,0.1,1
(    204)   1.PRINT ENET1,V1%
( 100241)    .INPUT ENET1,V1%,0.1,1
(    204)   1.PRINT ENET1,V1%
( 100325)    .INPUT ENET1,V1%,0.1,1
(    201)   1.PRINT ENET1,V1%
( 100253)    .INPUT ENET1,V1%,0.1,1
(    205)   1.PRINT ENET1,V1%
( 100253)    .INPUT ENET1,V1%,0.1,1
(    204)   1.PRINT ENET1,V1%
( 100293)    .INPUT ENET1,V1%,0.1,1
(    200)   1.PRINT ENET1,V1%
( 100275)    .INPUT ENET1,V1%,0.1,1
(    203)   1.PRINT ENET1,V1%
( 100289)    .INPUT ENET1,V1%,0.1,1
(    215)   1.PRINT ENET1,V1%
( 100247)    .INPUT ENET1,V1%,0.1,1
(    202)   1.PRINT ENET1,V1%
( 100252)    .INPUT ENET1,V1%,0.1,1
(    204)   1.PRINT ENET1,V1%
( 100304)    .INPUT ENET1,V1%,0.1,1
(    204)   1.PRINT ENET1,V1%
( 100303)    .INPUT ENET1,V1%,0.1,1
(    203)   1.PRINT ENET1,V1%
( 100236)    .INPUT ENET1,V1%,0.1,1
(    205)   1.PRINT ENET1,V1%
( 100278)    .INPUT ENET1,V1%,0.1,1
(    204)   1.PRINT ENET1,V1%
( 100296)    .INPUT ENET1,V1%,0.1,1
(    205)   1.PRINT ENET1,V1%
( 100294)    .INPUT ENET1,V1%,0.1,1
(    204)   1.PRINT ENET1,V1%
( 100233)    .INPUT ENET1,V1%,0.1,1
(    205)   1.PRINT ENET1,V1%
( 100269)    .INPUT ENET1,V1%,0.1,1
(    205)   1.PRINT ENET1,V1%
( 100323)    .INPUT ENET1,V1%,0.1,1
(    200)   1.PRINT ENET1,V1%
( 100266)    .INPUT ENET1,V1%,0.1,1
(    204)   1.PRINT ENET1,V1%
( 100239)    .INPUT ENET1,V1%,0.1,1
(    204)   1.PRINT ENET1,V1%
(  35526)INPUT received:[3]
(     51)    .INPUT ENET1,V1%,0.1,1
(    191)    .PRINT ENET1,V1%
(    428)    .IF V1%=2 THEN
(    785)    .ELSEIF V1%=3 THEN
(    300)    .CALL 13 'cut
(    133)====.|Start 0013.JOB
(   2559)    .|OnLTrack OFF
(    197)    .|PRINT ENET1,"cut_complete"
(    702)    .|CALL 3 'onltrack on
(     86)====.||Start 0003.JOB
(    157)    .||OnLTrack ON,IP=192.168.0.54,PORT=9569,CRD=0
(    194)    .||LIMIT POS,+X=5000,-X=5000,+Y=5000,-Y=5000,+Z=5000,-Z=5000
(    261)    .||LIMIT VEL,X=50,Y=50,Z=50,RX=10,RY=10,RZ=10
(    311)    .||END
(     48)----.|{Return(P:3->P:13/S0/F3)}
(    192)    .|PRINT ENET1,"123456789"
(    170)    .|V1%=0
(    633)    .|PRINT ENET1,V1%
(    230)    .|END
(     47)----.{Return(P:13->P:1/S1/F11)}
(    243)    .ELSEIF V1%=4 THEN
(    155)    .ENDIF
(    176)    .PRINT ENET1,"goto1"
(    189)    .GOTO 1
(   1728)   1.PRINT ENET1,V1%
(   3756)_____[ PlyStopActionProcess() ]
(    855)BD530CANData [44,11,00,00,F8,88,00,F0,F0,00,44,00]
(     81)MotStateBackup [41,02,41,02,0E,02]
(     66)iMPTestStateBackup [03,02,01,03,02,01]
(    128)_____{Error:E00159(2)} 
(    636)AutoBackupForEvent
(     40)ull_CmdManagerISR_Time=468
(     48)ull_MainISR_Time=12620479998
( 132475)BD530CANData [44,11,00,00,F8,88,00,F0,F0,00,44,00]
(     82)MotStateBackup [41,02,41,02,41,02]
(     66)iMPTestStateBackup [03,02,01,03,02,01]
(     82)_____{Error:E00159(3)} 
(   2061)AutoBackupForEvent
(     43)ull_CmdManagerISR_Time=493
(    652)ull_MainISR_Time=889
( 113896)BD530CANData [44,11,00,00,F8,88,00,F0,F0,00,44,00]
(    676)MotStateBackup [41,02,41,02,41,02]
(     67)iMPTestStateBackup [03,02,01,03,02,01]
(     83)_____{Error:E00159(5)} 
(    713)AutoBackupForEvent
(     41)ull_CmdManagerISR_Time=542
(     45)ull_MainISR_Time=739
(=Stamp=)[2024/10/11 17:46:29](102834156)  
(     69)Operation mode has been changed to TEACH!
(      0)_____^^^^^ Previous Contents ^^^^^______



( 763297) AlivedTimeAfterPowerDown = 2258711[usec]
(     69)/*=========== Power Failure ==============*/
(     64)/\/\/\ Detected Time:2024/10/11 17:47:40
(     72)/*========================================*/
(     64)========================================
(     69) Hi5a Booting at 2024/10/15 08:01:41
(     55)----------------------------------------
(   5481)[2024/10/15 08:01:41] __netmon_error_lost_chain=800
( 205354)waiting SSM request from teach pendant...

(8804922)SSM received first : 8 sec 

(4902817)PoseShiftOpt=1
(=Stamp=)[2024/10/15 08:24:48](1373307850)  
(    108)Operation mode has been changed to AUTO!
(   4500)Set_StepSetAlarm!!!!
(     42)Cur(0): ProgNo=1, StepNo=0, FuncNo=0
(     58)Mov(0): ProgNo=1, StepNo=1, FuncNo=6
(    255)BD530CANData [CC,11,00,00,F8,AA,03,F9,F0,00,66,00]
(    436)MotStateBackup [01,29,04,3D,09,02]
(     67)iMPTestStateBackup [00,00,00,00,00,00]
(     83)_____{Error:W00174(0)} 
(    684)AutoBackupForEvent
(7685276)_____[START by Internal]
(   5572)BD530CANData [44,11,00,00,F8,88,00,F0,F0,00,44,00]
(     80)MotStateBackup [02,07,03,05,0A,28]
(     66)iMPTestStateBackup [00,00,00,00,00,00]
(   4177)_____[START]__________(P1/S0./F0)___
(     76)>>>> Adjust PSF in [lTask:0]____________
(     63)ChangeExecPsf4StartAtChangedPSF:(P1/S0/F0)
(     64)Old:CallStack[R0/M0],1(P1/S1/F11)
(     56)Old:Moving_PSF=(P1/S1/F6), RunningPSF=(P1/S1/F6)
(     73)Cleared by changing SF_____
(    444)Old:CallStack[R0/M0],1(P1/S1/F11)
(     57)Old:Moving_PSF=(P1/S1/F6), RunningPSF=(P1/S1/F6)
(    212)New:Moving_PSF=(P1/S0/F0), RunningPSF=(P1/S0/F0)
(     70)New:CallStack[R0/M0]
(     39)^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
(     60)New:Moving_PSF=(P1/S0/F0), RunningPSF=(P1/S0/F0)
(     74)New:CallStack[R0/M0],1(P1/S1/F11)
(     53)^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
(    333)====.Start 0001.JOB
(    163)    .V1%=0
(    247)S1  >MOVE P,P1,S=5%,A=3,T=0
(   9029)    .CALL 2 'enet1
(     83)====.|Start 0002.JOB
(    156)    .|ENET1.IP="192.168.0.54"
(    228)    .|ENET1.LPORT=6666
(    144)    .|ENET1.RPORT=7777
(    241)    .|ENET1.OPEN 1
(    160)    .|CLR_RBUF ENET1
(    199)    .|END
(     44)----.{Return(P:2->P:1/S1/F1)}
(1158739)S1  .MOVE P,P1,S=5%,A=3,T=0
(2009348)    .DELAY 2
(    284)    .CALL 3 'onltrack on
(     97)====.|Start 0003.JOB
(    170)    .|OnLTrack ON,IP=192.168.0.54,PORT=9569,CRD=0
(    193)    .|LIMIT POS,+X=5000,-X=5000,+Y=5000,-Y=5000,+Z=5000,-Z=5000
(    213)    .|LIMIT VEL,X=50,Y=50,Z=50,RX=10,RY=10,RZ=10
(    734)    .|END
(     48)----.{Return(P:3->P:1/S1/F3)}
(    197)    .PRINT ENET1,"init"
(    246)   1.PRINT ENET1,V1%
(  98531)    .INPUT ENET1,V1%,0.1,1
(    206)   1.PRINT ENET1,V1%
( 100279)    .INPUT ENET1,V1%,0.1,1
(    201)   1.PRINT ENET1,V1%
( 100255)    .INPUT ENET1,V1%,0.1,1
(    204)   1.PRINT ENET1,V1%
( 100270)    .INPUT ENET1,V1%,0.1,1
(    226)   1.PRINT ENET1,V1%
( 100287)    .INPUT ENET1,V1%,0.1,1
(    201)   1.PRINT ENET1,V1%
( 100242)    .INPUT ENET1,V1%,0.1,1
(    205)   1.PRINT ENET1,V1%
( 100268)    .INPUT ENET1,V1%,0.1,1
(    205)   1.PRINT ENET1,V1%
( 100323)    .INPUT ENET1,V1%,0.1,1
(    199)   1.PRINT ENET1,V1%
( 100239)    .INPUT ENET1,V1%,0.1,1
(    205)   1.PRINT ENET1,V1%
( 100289)    .INPUT ENET1,V1%,0.1,1
(    203)   1.PRINT ENET1,V1%
( 100268)    .INPUT ENET1,V1%,0.1,1
(    206)   1.PRINT ENET1,V1%
( 100279)    .INPUT ENET1,V1%,0.1,1
(    206)   1.PRINT ENET1,V1%
( 100260)    .INPUT ENET1,V1%,0.1,1
(    204)   1.PRINT ENET1,V1%
( 100329)    .INPUT ENET1,V1%,0.1,1
(    200)   1.PRINT ENET1,V1%
( 100272)    .INPUT ENET1,V1%,0.1,1
(    211)   1.PRINT ENET1,V1%
( 100249)    .INPUT ENET1,V1%,0.1,1
(    205)   1.PRINT ENET1,V1%
( 100241)    .INPUT ENET1,V1%,0.1,1
(    204)   1.PRINT ENET1,V1%
( 100316)    .INPUT ENET1,V1%,0.1,1
(    200)   1.PRINT ENET1,V1%
( 100339)    .INPUT ENET1,V1%,0.1,1
(    205)   1.PRINT ENET1,V1%
( 100247)    .INPUT ENET1,V1%,0.1,1
(    204)   1.PRINT ENET1,V1%
( 100316)    .INPUT ENET1,V1%,0.1,1
(    203)   1.PRINT ENET1,V1%
( 100262)    .INPUT ENET1,V1%,0.1,1
(    205)   1.PRINT ENET1,V1%
( 100283)    .INPUT ENET1,V1%,0.1,1
(    204)   1.PRINT ENET1,V1%
( 100355)    .INPUT ENET1,V1%,0.1,1
(    201)   1.PRINT ENET1,V1%
( 100185)    .INPUT ENET1,V1%,0.1,1
(    204)   1.PRINT ENET1,V1%
( 100202)    .INPUT ENET1,V1%,0.1,1
(    217)   1.PRINT ENET1,V1%
( 100387)    .INPUT ENET1,V1%,0.1,1
(    201)   1.PRINT ENET1,V1%
( 100228)    .INPUT ENET1,V1%,0.1,1
(    206)   1.PRINT ENET1,V1%
( 100266)    .INPUT ENET1,V1%,0.1,1
(    204)   1.PRINT ENET1,V1%
( 100265)    .INPUT ENET1,V1%,0.1,1
(    225)   1.PRINT ENET1,V1%
( 100267)    .INPUT ENET1,V1%,0.1,1
(    206)   1.PRINT ENET1,V1%
( 100273)    .INPUT ENET1,V1%,0.1,1
(    204)   1.PRINT ENET1,V1%
( 100299)    .INPUT ENET1,V1%,0.1,1
(    203)   1.PRINT ENET1,V1%
( 100269)    .INPUT ENET1,V1%,0.1,1
(    204)   1.PRINT ENET1,V1%
( 100257)    .INPUT ENET1,V1%,0.1,1
(    205)   1.PRINT ENET1,V1%
( 100305)    .INPUT ENET1,V1%,0.1,1
(    201)   1.PRINT ENET1,V1%
( 100255)    .INPUT ENET1,V1%,0.1,1
(    203)   1.PRINT ENET1,V1%
( 100293)    .INPUT ENET1,V1%,0.1,1
(    203)   1.PRINT ENET1,V1%
( 100294)    .INPUT ENET1,V1%,0.1,1
(    202)   1.PRINT ENET1,V1%
( 100240)    .INPUT ENET1,V1%,0.1,1
(    204)   1.PRINT ENET1,V1%
( 100286)    .INPUT ENET1,V1%,0.1,1
(    206)   1.PRINT ENET1,V1%
( 100277)    .INPUT ENET1,V1%,0.1,1
(    204)   1.PRINT ENET1,V1%
( 100284)    .INPUT ENET1,V1%,0.1,1
(    202)   1.PRINT ENET1,V1%
( 100246)    .INPUT ENET1,V1%,0.1,1
(    205)   1.PRINT ENET1,V1%
( 100305)    .INPUT ENET1,V1%,0.1,1
(    206)   1.PRINT ENET1,V1%
( 100254)    .INPUT ENET1,V1%,0.1,1
(    205)   1.PRINT ENET1,V1%
( 100274)    .INPUT ENET1,V1%,0.1,1
(    204)   1.PRINT ENET1,V1%
( 100267)    .INPUT ENET1,V1%,0.1,1
(    203)   1.PRINT ENET1,V1%
( 100326)    .INPUT ENET1,V1%,0.1,1
(    201)   1.PRINT ENET1,V1%
( 100230)    .INPUT ENET1,V1%,0.1,1
(    205)   1.PRINT ENET1,V1%
( 100283)    .INPUT ENET1,V1%,0.1,1
(    204)   1.PRINT ENET1,V1%
( 100296)    .INPUT ENET1,V1%,0.1,1
(    224)   1.PRINT ENET1,V1%
( 100261)    .INPUT ENET1,V1%,0.1,1
(    205)   1.PRINT ENET1,V1%
( 100246)    .INPUT ENET1,V1%,0.1,1
(    204)   1.PRINT ENET1,V1%
( 100303)    .INPUT ENET1,V1%,0.1,1
(    203)   1.PRINT ENET1,V1%
( 100267)    .INPUT ENET1,V1%,0.1,1
(    205)   1.PRINT ENET1,V1%
( 100261)    .INPUT ENET1,V1%,0.1,1
(    205)   1.PRINT ENET1,V1%
( 100273)    .INPUT ENET1,V1%,0.1,1
(    205)   1.PRINT ENET1,V1%
( 100268)    .INPUT ENET1,V1%,0.1,1
(    204)   1.PRINT ENET1,V1%
( 100301)    .INPUT ENET1,V1%,0.1,1
(    205)   1.PRINT ENET1,V1%
( 100275)    .INPUT ENET1,V1%,0.1,1
(    205)   1.PRINT ENET1,V1%
( 100251)    .INPUT ENET1,V1%,0.1,1
(    204)   1.PRINT ENET1,V1%
( 100277)    .INPUT ENET1,V1%,0.1,1
(    215)   1.PRINT ENET1,V1%
( 100276)    .INPUT ENET1,V1%,0.1,1
(    203)   1.PRINT ENET1,V1%
( 100263)    .INPUT ENET1,V1%,0.1,1
(    204)   1.PRINT ENET1,V1%
( 100273)    .INPUT ENET1,V1%,0.1,1
(    204)   1.PRINT ENET1,V1%
( 100334)    .INPUT ENET1,V1%,0.1,1
(    202)   1.PRINT ENET1,V1%
( 100235)    .INPUT ENET1,V1%,0.1,1
(    204)   1.PRINT ENET1,V1%
( 100264)    .INPUT ENET1,V1%,0.1,1
(    205)   1.PRINT ENET1,V1%
( 100197)    .INPUT ENET1,V1%,0.1,1
(    207)   1.PRINT ENET1,V1%
( 100365)    .INPUT ENET1,V1%,0.1,1
(    206)   1.PRINT ENET1,V1%
( 100258)    .INPUT ENET1,V1%,0.1,1
(    204)   1.PRINT ENET1,V1%
( 100277)    .INPUT ENET1,V1%,0.1,1
(    221)   1.PRINT ENET1,V1%
( 100253)    .INPUT ENET1,V1%,0.1,1
(    205)   1.PRINT ENET1,V1%
( 100285)    .INPUT ENET1,V1%,0.1,1
(    204)   1.PRINT ENET1,V1%
( 100263)    .INPUT ENET1,V1%,0.1,1
(    204)   1.PRINT ENET1,V1%
( 100300)    .INPUT ENET1,V1%,0.1,1
(    202)   1.PRINT ENET1,V1%
( 100255)    .INPUT ENET1,V1%,0.1,1
(    226)   1.PRINT ENET1,V1%
( 100263)    .INPUT ENET1,V1%,0.1,1
(    204)   1.PRINT ENET1,V1%
( 100288)    .INPUT ENET1,V1%,0.1,1
(    200)   1.PRINT ENET1,V1%
( 100255)    .INPUT ENET1,V1%,0.1,1
(    205)   1.PRINT ENET1,V1%
( 100291)    .INPUT ENET1,V1%,0.1,1
(    206)   1.PRINT ENET1,V1%
( 100283)    .INPUT ENET1,V1%,0.1,1
(    201)   1.PRINT ENET1,V1%
( 100255)    .INPUT ENET1,V1%,0.1,1
(    205)   1.PRINT ENET1,V1%
( 100272)    .INPUT ENET1,V1%,0.1,1
(    204)   1.PRINT ENET1,V1%
( 100307)    .INPUT ENET1,V1%,0.1,1
(    206)   1.PRINT ENET1,V1%
( 100236)    .INPUT ENET1,V1%,0.1,1
(    206)   1.PRINT ENET1,V1%
( 100305)    .INPUT ENET1,V1%,0.1,1
(    204)   1.PRINT ENET1,V1%
( 100289)    .INPUT ENET1,V1%,0.1,1
(    213)   1.PRINT ENET1,V1%
( 100267)    .INPUT ENET1,V1%,0.1,1
(    201)   1.PRINT ENET1,V1%
( 100239)    .INPUT ENET1,V1%,0.1,1
(    205)   1.PRINT ENET1,V1%
( 100269)    .INPUT ENET1,V1%,0.1,1
(    207)   1.PRINT ENET1,V1%
( 100287)    .INPUT ENET1,V1%,0.1,1
(    205)   1.PRINT ENET1,V1%
( 100292)    .INPUT ENET1,V1%,0.1,1
(    204)   1.PRINT ENET1,V1%
( 100246)    .INPUT ENET1,V1%,0.1,1
(    204)   1.PRINT ENET1,V1%
( 100280)    .INPUT ENET1,V1%,0.1,1
(    202)   1.PRINT ENET1,V1%
( 100295)    .INPUT ENET1,V1%,0.1,1
(    204)   1.PRINT ENET1,V1%
( 100243)    .INPUT ENET1,V1%,0.1,1
(    204)   1.PRINT ENET1,V1%
( 100313)    .INPUT ENET1,V1%,0.1,1
(    202)   1.PRINT ENET1,V1%
( 100251)    .INPUT ENET1,V1%,0.1,1
(    204)   1.PRINT ENET1,V1%
( 100298)    .INPUT ENET1,V1%,0.1,1
(    206)   1.PRINT ENET1,V1%
( 100242)    .INPUT ENET1,V1%,0.1,1
(    220)   1.PRINT ENET1,V1%
( 100268)    .INPUT ENET1,V1%,0.1,1
(    204)   1.PRINT ENET1,V1%
( 100269)    .INPUT ENET1,V1%,0.1,1
(    226)   1.PRINT ENET1,V1%
( 100276)    .INPUT ENET1,V1%,0.1,1
(    204)   1.PRINT ENET1,V1%
( 100274)    .INPUT ENET1,V1%,0.1,1
(    202)   1.PRINT ENET1,V1%
( 100258)    .INPUT ENET1,V1%,0.1,1
(    204)   1.PRINT ENET1,V1%
( 100300)    .INPUT ENET1,V1%,0.1,1
(    206)   1.PRINT ENET1,V1%
( 100259)    .INPUT ENET1,V1%,0.1,1
(    204)   1.PRINT ENET1,V1%
( 100275)    .INPUT ENET1,V1%,0.1,1
(    204)   1.PRINT ENET1,V1%
( 100272)    .INPUT ENET1,V1%,0.1,1
(    205)   1.PRINT ENET1,V1%
( 100311)    .INPUT ENET1,V1%,0.1,1
(    201)   1.PRINT ENET1,V1%
( 100231)    .INPUT ENET1,V1%,0.1,1
(    203)   1.PRINT ENET1,V1%
( 100286)    .INPUT ENET1,V1%,0.1,1
(    205)   1.PRINT ENET1,V1%
( 100258)    .INPUT ENET1,V1%,0.1,1
(    214)   1.PRINT ENET1,V1%
( 100303)    .INPUT ENET1,V1%,0.1,1
(    204)   1.PRINT ENET1,V1%
( 100243)    .INPUT ENET1,V1%,0.1,1
(    204)   1.PRINT ENET1,V1%
( 100307)    .INPUT ENET1,V1%,0.1,1
(    202)   1.PRINT ENET1,V1%
( 100266)    .INPUT ENET1,V1%,0.1,1
(    206)   1.PRINT ENET1,V1%
( 100276)    .INPUT ENET1,V1%,0.1,1
(    204)   1.PRINT ENET1,V1%
( 100258)    .INPUT ENET1,V1%,0.1,1
(    205)   1.PRINT ENET1,V1%
( 100280)    .INPUT ENET1,V1%,0.1,1
(    204)   1.PRINT ENET1,V1%
( 100266)    .INPUT ENET1,V1%,0.1,1
(    205)   1.PRINT ENET1,V1%
( 100297)    .INPUT ENET1,V1%,0.1,1
(    203)   1.PRINT ENET1,V1%
( 100257)    .INPUT ENET1,V1%,0.1,1
(    204)   1.PRINT ENET1,V1%
( 100265)    .INPUT ENET1,V1%,0.1,1
(    204)   1.PRINT ENET1,V1%
( 100312)    .INPUT ENET1,V1%,0.1,1
(    205)   1.PRINT ENET1,V1%
( 100274)    .INPUT ENET1,V1%,0.1,1
(    202)   1.PRINT ENET1,V1%
( 100255)    .INPUT ENET1,V1%,0.1,1
(    203)   1.PRINT ENET1,V1%
( 100272)    .INPUT ENET1,V1%,0.1,1
(    227)   1.PRINT ENET1,V1%
( 100300)    .INPUT ENET1,V1%,0.1,1
(    203)   1.PRINT ENET1,V1%
( 100232)    .INPUT ENET1,V1%,0.1,1
(    205)   1.PRINT ENET1,V1%
( 100277)    .INPUT ENET1,V1%,0.1,1
(    204)   1.PRINT ENET1,V1%
( 100317)    .INPUT ENET1,V1%,0.1,1
(    202)   1.PRINT ENET1,V1%
( 100238)    .INPUT ENET1,V1%,0.1,1
(    204)   1.PRINT ENET1,V1%
( 100261)    .INPUT ENET1,V1%,0.1,1
(    203)   1.PRINT ENET1,V1%
( 100319)    .INPUT ENET1,V1%,0.1,1
(    202)   1.PRINT ENET1,V1%
( 100271)    .INPUT ENET1,V1%,0.1,1
(    205)   1.PRINT ENET1,V1%
( 100249)    .INPUT ENET1,V1%,0.1,1
(    204)   1.PRINT ENET1,V1%
( 100306)    .INPUT ENET1,V1%,0.1,1
(    202)   1.PRINT ENET1,V1%
( 100272)    .INPUT ENET1,V1%,0.1,1
(    213)   1.PRINT ENET1,V1%
( 100254)    .INPUT ENET1,V1%,0.1,1
(    205)   1.PRINT ENET1,V1%
( 100253)    .INPUT ENET1,V1%,0.1,1
(    206)   1.PRINT ENET1,V1%
( 100299)    .INPUT ENET1,V1%,0.1,1
(    201)   1.PRINT ENET1,V1%
( 100278)    .INPUT ENET1,V1%,0.1,1
(    206)   1.PRINT ENET1,V1%
( 100267)    .INPUT ENET1,V1%,0.1,1
(    204)   1.PRINT ENET1,V1%
( 100285)    .INPUT ENET1,V1%,0.1,1
(    201)   1.PRINT ENET1,V1%
( 100260)    .INPUT ENET1,V1%,0.1,1
(    205)   1.PRINT ENET1,V1%
( 100287)    .INPUT ENET1,V1%,0.1,1
(    204)   1.PRINT ENET1,V1%
( 100281)    .INPUT ENET1,V1%,0.1,1
(    202)   1.PRINT ENET1,V1%
( 100268)    .INPUT ENET1,V1%,0.1,1
(    205)   1.PRINT ENET1,V1%
( 100268)    .INPUT ENET1,V1%,0.1,1
(    205)   1.PRINT ENET1,V1%
( 100281)    .INPUT ENET1,V1%,0.1,1
